<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
07/15/21;13:10:00,643.7700000,644.5600000,643.6800000,644.2700000,5681
07/15/21;13:15:00,644.2500000,645.1800000,643.9400000,644.8200000,4751
07/15/21;13:20:00,644.8000000,647.1200000,644.7400000,645.7800000,5520
07/15/21;13:25:00,646.2500000,646.7000000,646.0000000,646.0000000,5504
07/15/21;13:30:00,646.9100000,646.9100000,645.5500000,646.2500000,1441
07/15/21;13:35:00,645.6500000,645.6500000,643.7000000,644.0100000,5241
07/15/21;13:40:00,644.0000000,644.4800000,642.8900000,642.8900000,7573
07/15/21;13:45:00,642.7600000,643.0200000,641.7000000,641.9800000,9577
07/15/21;13:50:00,642.2000000,642.7000000,641.5900000,642.0000000,5152
07/15/21;13:55:00,642.1300000,642.1300000,639.6100000,639.6100000,5725
07/15/21;14:00:00,639.2200000,639.5000000,638.0000000,638.0000000,18972
07/15/21;14:05:00,637.9800000,640.2200000,637.9000000,640.0000000,8541
07/15/21;14:10:00,639.4500000,640.9800000,639.4500000,640.5900000,1755
07/15/21;14:15:00,640.9800000,641.0600000,640.5000000,640.5650000,2289
07/15/21;14:20:00,640.1300000,641.4800000,639.8700000,641.2000000,2799
07/15/21;14:25:00,641.1300000,641.7500000,641.0000000,641.2300000,7861
07/15/21;14:30:00,641.6700000,642.8100000,641.6700000,642.8100000,3619
07/15/21;14:35:00,642.5100000,643.0900000,642.5000000,642.5300000,2839
07/15/21;14:40:00,641.8000000,643.7600000,641.8000000,643.7600000,3009
07/15/21;14:45:00,643.9300000,644.4400000,643.3600000,643.8900000,5255
07/15/21;14:50:00,643.1200000,645.8200000,643.1200000,645.6400000,7151
07/15/21;14:55:00,645.6400000,646.9300000,645.6200000,646.4150000,6240
07/15/21;15:00:00,646.5500000,647.3000000,646.3300000,646.3650000,5080
07/15/21;15:05:00,646.2600000,647.3000000,646.0700000,646.5500000,4705
07/15/21;15:10:00,646.2200000,646.2300000,645.4500000,645.9700000,1000
07/15/21;15:15:00,645.9550000,646.9700000,645.1000000,645.2300000,2013
07/15/21;15:20:00,645.2800000,645.5400000,644.7800000,645.5400000,1748
07/15/21;15:25:00,645.9300000,646.0800000,645.0000000,645.4100000,2605
07/15/21;15:30:00,645.8800000,647.7200000,645.8800000,647.3100000,4462
07/15/21;15:35:00,647.8900000,649.9900000,647.8900000,649.2700000,5530
07/15/21;15:40:00,649.2500000,650.1900000,647.3650000,647.3650000,3450
07/15/21;15:45:00,648.0200000,648.5500000,647.3500000,647.3500000,2204
07/15/21;15:50:00,647.6500000,648.8200000,647.6500000,648.3400000,4341
